CONVERSION FRACTION
0 0.01
HOUSEHOLD ADDITION RATE
0 0.02
INITIAL FRACTION ELECTRIC
0 0.05
INITIAL HOUSEHOLDS
0 2e+007
Payoff
0 -1766.51
CONVERSION FRACTION
1 0.015
HOUSEHOLD ADDITION RATE
1 0.02
INITIAL FRACTION ELECTRIC
1 0.05
INITIAL HOUSEHOLDS
1 2e+007
Payoff
1 -2310.87
CONVERSION FRACTION
2 0.00190983
HOUSEHOLD ADDITION RATE
2 0.02
INITIAL FRACTION ELECTRIC
2 0.05
INITIAL HOUSEHOLDS
2 2e+007
Payoff
2 -2899.45
CONVERSION FRACTION
3 0.01
HOUSEHOLD ADDITION RATE
3 0.02
INITIAL FRACTION ELECTRIC
3 0.05
INITIAL HOUSEHOLDS
3 2e+007
Payoff
3 -1766.51
CONVERSION FRACTION
4 0.0099433
HOUSEHOLD ADDITION RATE
4 0.02
INITIAL FRACTION ELECTRIC
4 0.05
INITIAL HOUSEHOLDS
4 2e+007
Payoff
4 -1759.23
CONVERSION FRACTION
5 0.00687479
HOUSEHOLD ADDITION RATE
5 0.02
INITIAL FRACTION ELECTRIC
5 0.05
INITIAL HOUSEHOLDS
5 2e+007
Payoff
5 -1401.38
CONVERSION FRACTION
6 0.00497834
HOUSEHOLD ADDITION RATE
6 0.02
INITIAL FRACTION ELECTRIC
6 0.05
INITIAL HOUSEHOLDS
6 2e+007
Payoff
6 -1381.09
CONVERSION FRACTION
7 0.00567581
HOUSEHOLD ADDITION RATE
7 0.02
INITIAL FRACTION ELECTRIC
7 0.05
INITIAL HOUSEHOLDS
7 2e+007
Payoff
7 -1346.53
CONVERSION FRACTION
8 0.00582013
HOUSEHOLD ADDITION RATE
8 0.02
INITIAL FRACTION ELECTRIC
8 0.05
INITIAL HOUSEHOLDS
8 2e+007
Payoff
8 -1347.06
CONVERSION FRACTION
9 0.00571894
HOUSEHOLD ADDITION RATE
9 0.02
INITIAL FRACTION ELECTRIC
9 0.05
INITIAL HOUSEHOLDS
9 2e+007
Payoff
9 -1346.46
CONVERSION FRACTION
10 0.00575137
HOUSEHOLD ADDITION RATE
10 0.02
INITIAL FRACTION ELECTRIC
10 0.05
INITIAL HOUSEHOLDS
10 2e+007
Payoff
10 -1346.53
CONVERSION FRACTION
11 0.00568651
HOUSEHOLD ADDITION RATE
11 0.02
INITIAL FRACTION ELECTRIC
11 0.05
INITIAL HOUSEHOLDS
11 2e+007
Payoff
11 -1346.49
CONVERSION FRACTION
12 0.00568651
HOUSEHOLD ADDITION RATE
12 0.03
INITIAL FRACTION ELECTRIC
12 0.05
INITIAL HOUSEHOLDS
12 2e+007
Payoff
12 -14428.5
CONVERSION FRACTION
13 0.00568651
HOUSEHOLD ADDITION RATE
13 0.00381966
INITIAL FRACTION ELECTRIC
13 0.05
INITIAL HOUSEHOLDS
13 2e+007
Payoff
13 -1091.7
CONVERSION FRACTION
14 0.00568651
HOUSEHOLD ADDITION RATE
14 0.0117503
INITIAL FRACTION ELECTRIC
14 0.05
INITIAL HOUSEHOLDS
14 2e+007
Payoff
14 -52.3435
CONVERSION FRACTION
15 0.00568651
HOUSEHOLD ADDITION RATE
15 0.0138197
INITIAL FRACTION ELECTRIC
15 0.05
INITIAL HOUSEHOLDS
15 2e+007
Payoff
15 -26.7007
CONVERSION FRACTION
16 0.00568651
HOUSEHOLD ADDITION RATE
16 0.0130112
INITIAL FRACTION ELECTRIC
16 0.05
INITIAL HOUSEHOLDS
16 2e+007
Payoff
16 -17.6076
CONVERSION FRACTION
17 0.00568651
HOUSEHOLD ADDITION RATE
17 0.0132212
INITIAL FRACTION ELECTRIC
17 0.05
INITIAL HOUSEHOLDS
17 2e+007
Payoff
17 -17.431
CONVERSION FRACTION
18 0.00568651
HOUSEHOLD ADDITION RATE
18 0.0132961
INITIAL FRACTION ELECTRIC
18 0.05
INITIAL HOUSEHOLDS
18 2e+007
Payoff
18 -17.7877
CONVERSION FRACTION
19 0.00568651
HOUSEHOLD ADDITION RATE
19 0.0131462
INITIAL FRACTION ELECTRIC
19 0.05
INITIAL HOUSEHOLDS
19 2e+007
Payoff
19 -17.2967
CONVERSION FRACTION
20 0.00568651
HOUSEHOLD ADDITION RATE
20 0.0130717
INITIAL FRACTION ELECTRIC
20 0.05
INITIAL HOUSEHOLDS
20 2e+007
Payoff
20 -17.3813
CONVERSION FRACTION
21 0.00568651
HOUSEHOLD ADDITION RATE
21 0.0130717
INITIAL FRACTION ELECTRIC
21 0.075
INITIAL HOUSEHOLDS
21 2e+007
Payoff
21 -49.2476
CONVERSION FRACTION
22 0.00568651
HOUSEHOLD ADDITION RATE
22 0.0130717
INITIAL FRACTION ELECTRIC
22 0.00954915
INITIAL HOUSEHOLDS
22 2e+007
Payoff
22 -528.657
CONVERSION FRACTION
23 0.00568651
HOUSEHOLD ADDITION RATE
23 0.0130717
INITIAL FRACTION ELECTRIC
23 0.05
INITIAL HOUSEHOLDS
23 2e+007
Payoff
23 -17.3813
CONVERSION FRACTION
24 0.00568651
HOUSEHOLD ADDITION RATE
24 0.0130717
INITIAL FRACTION ELECTRIC
24 0.0497165
INITIAL HOUSEHOLDS
24 2e+007
Payoff
24 -17.4418
CONVERSION FRACTION
25 0.00568651
HOUSEHOLD ADDITION RATE
25 0.0130717
INITIAL FRACTION ELECTRIC
25 0.0516736
INITIAL HOUSEHOLDS
25 2e+007
Payoff
25 -17.2986
CONVERSION FRACTION
26 0.00568651
HOUSEHOLD ADDITION RATE
26 0.0130717
INITIAL FRACTION ELECTRIC
26 0.0605835
INITIAL HOUSEHOLDS
26 2e+007
Payoff
26 -23.4443
CONVERSION FRACTION
27 0.00568651
HOUSEHOLD ADDITION RATE
